file;manager;license;author;source;modified
carlo-ancelotti.jpg;Carlo Ancelotti;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Carlo_Ancelotti_Brazil_V_Morocco_13_June_2026-47.jpg;cropped to the head and resized to 320px
carlos-queiroz.jpg;Carlos Queiroz;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Carlos_Queiroz_England_v_Ghana_23_June_2026-092_(cropped).jpg;cropped to the head and resized to 320px
carlos-tevez.jpg;Carlos Tevez;CC BY-SA 4.0;Egghead06;https://commons.wikimedia.org/wiki/File:Carlos_Tevez_with_Argentina_November_2014_(cropped).jpg;cropped to the head and resized to 320px
casemiro.jpg;Casemiro;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Casemiro_Brazil_V_Morocco_13_June_2026-76_(cropped).jpg;cropped to the head and resized to 320px
cesc-fabregas.jpg;Cesc Fàbregas;CC BY 2.0;Web Summit;https://commons.wikimedia.org/wiki/File:2023_-_Cesc_Fabregas_(cropped).jpg;cropped to the head and resized to 320px
cha-bum-kun.jpg;Cha Bum-kun;CC BY-SA 2.0;Republic of Korea;https://commons.wikimedia.org/wiki/File:Team_Korea_Russia_WorldCup_04-1_(cropped).jpg;cropped to the head and resized to 320px
chicharito-hernandez.jpg;Chicharito Hernández;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Javier_Hern%C3%A1ndez_Paley_Center_Fox_Sports_Soccer-12.jpg;cropped to the head and resized to 320px
chris-coleman.jpg;Chris Coleman;CC BY-SA 3.0;Steindy ( talk ) 16:08, 10 November 2016 (UTC);https://commons.wikimedia.org/wiki/File:AUT_vs._WAL_2016-10-06_(097).jpg;cropped to the head and resized to 320px
christian-eriksen.jpg;Christian Eriksen;CC BY-SA 2.0;Chris 0023 from Lyngby, Denmark;https://commons.wikimedia.org/wiki/File:20140904_-_Christian_Eriksen_(cropped).jpg;cropped to the head and resized to 320px
christian-vieri.jpg;Christian Vieri;CC BY-SA 4.0;Nehme1499;https://commons.wikimedia.org/wiki/File:Christian_Vieri,_2025_(cropped).jpg;cropped to the head and resized to 320px
christian-ziege.jpg;Christian Ziege;CC BY-SA 3.0;CZ.jpg : The original uploader was VierscheJong at German Wikipedia . ( Original text: VierscheJong ) derivative work: D;https://commons.wikimedia.org/wiki/File:Christian_Ziege.jpg;cropped to the head and resized to 320px
christoph-daum.jpg;Christoph Daum;CC BY-SA 3.0;9EkieraM1;https://commons.wikimedia.org/wiki/File:AV0A0722_Christoph_Daum.jpg;cropped to the head and resized to 320px
christophe-galtier.jpg;Christophe Galtier;CC BY 4.0;Mohammad Sadiq Nik Gostar;https://commons.wikimedia.org/wiki/File:Christophe_Galtier_with_Al_Duhail.jpg;cropped to the head and resized to 320px
ciro-immobile.jpg;Ciro Immobile;CC BY-SA 3.0;Clément Bucco-Lechat;https://commons.wikimedia.org/wiki/File:20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Ciro_Immobile_1.jpg;cropped to the head and resized to 320px
clarence-seedorf.jpg;Clarence Seedorf;CC BY-SA 3.0;Кирилл Венедиктов;https://commons.wikimedia.org/wiki/File:Clarence_Seedorf_2021.jpg;cropped to the head and resized to 320px
claude-makelele.jpg;Claude Makelélé;CC BY 2.0;Web Summit Qatar;https://commons.wikimedia.org/wiki/File:Claude_Mak%C3%A9l%C3%A9l%C3%A9_(53557564951)_(cropped).jpg;cropped to the head and resized to 320px
